username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
b'Marilyn Maloney',37019026,2017-05-11 01:39:18,b'RT @thehill: JUST IN: Pelosi threatens to force vote on independent investigation of Trump/Russia collusion https://t.co/DwcWu40z98 https:/...',1672,None,69,407,0.0,0.125
b'Alex Aleman',860527071461769216,2017-05-11 01:39:18,"b""Russians release photos of Trump meeting with amba... https://t.co/qWPJROUdmI now that's a traitor time to impeach his ugly asd""",0,None,18,119,-0.7,1.0
b'Dani',2337440142,2017-05-11 01:39:18,"b'RT @THELIFEOFVON: ""President Donald Trump and Vice President Mike Pence have been assasinated"" \nMe:  https://t.co/ykjalOaQlZ'",519,None,1353,56,0.0,0.0
b'Frogger',713869086447370240,2017-05-11 01:39:18,"b'RT @BillKristol: Interesting: A few GOP Senators now privately discussing what they can do, beyond mere statements. Eg, withhold votes for...'",1445,None,140,207,-0.05,0.36875
b'\xf0\x9f\x91\x8c/pol/\xf0\x9f\x91\x8c',757396587668799492,2017-05-11 01:39:18,"b""RT @agreatercountry: Maxine figured it out. She is against Trump firing Comey. But Hillary firing Comey would be very good. Why couldn't we...""",2,None,1962,2080,0.9099999999999999,0.7800000000000001
b'Bob Foss',134601375,2017-05-11 01:39:18,"b""RT @brontyman: Just A Quarter Of GOP Senators Have Defended Trump's Firing Of Comey - FiveThirtyEight https://t.co/wPoqaE2YCx""",1,None,2486,2937,0.0,0.0
b'(((Mike McElwee)))',1535026796,2017-05-11 01:39:18,"b'@papaspeedo @Lrihendry @POTUS @POTUS44 @realDonaldTrump LOL, nobody is denying that. Trump is president for now...'",0,None,854,820,0.8,0.7
b'Aguyandhisbooks',753455218927476736,2017-05-11 01:39:18,b'RT @1942bs: us: Trump is destroying America \n\nTrump: tRUMp iS desTrOYINg AmERIcA https://t.co/fLi2zt0r17',2573,None,62,112,-0.2,0.0
b'CrazyCommonSense',1365480481,2017-05-11 01:39:18,b'RT @joncoopertweets: Trump. Pence. Bannon. Flynn. Sessions. Manafort. Stone. Kushner. Conway. Ryan.\n\nRT if ALL of these loathsome bastards...',579,None,437,335,0.0,0.0
b'BABEGIRL58',96440540,2017-05-11 01:39:18,"b'RT @infowars: With over a hundred days in office, are Trump supporters are happy with the results so far?  https://t.co/loFNQx39ot #usa'",18,usa,309,152,0.45,1.0
b'Long Cheng',2945341084,2017-05-11 01:39:18,"b""RT @CNN: Read former FBI Director James Comey's farewell letter after being fired by President Trump. https://t.co/kZ9r12ogdW https://t.co/...""",822,None,34,208,0.0,0.0
b'America 4 Trump',565112744,2017-05-11 01:39:18,"b'RT @YoungDems4Trump: If Trump does something patriotic, successful or we approves of, the media will lable it a mistake or scandal. Firing...'",107,None,4824,4008,0.75,0.95
b'Tim',2896350377,2017-05-11 01:39:18,b'RT @washingtonpost: Opinion: Trump has crossed a once-unthinkable red line https://t.co/lz8YEQv4c2',428,None,2022,888,0.0,0.0
b'Charlie Grandell',833142690053255168,2017-05-11 01:39:18,"b'RT @3lectric5heep: CONDOLEEZZA RICE BRILLIANTLY Shuts Down ""The View"" Dingbats Over Trump-Russia Collusion [VIDEO] https://t.co/HDy5vsmiJJ...'",168,None,415,780,0.37222222222222223,0.6444444444444445
b'\xf0\x9f\x87\xa8\xf0\x9f\x87\xa6 Monte Alto \xf0\x9f\x87\xba\xf0\x9f\x87\xb8',45259327,2017-05-11 01:39:18,"b'RT @ericgarland: Traitors allowed Trump his own private, weaselly Pretorian guard. Minus the heroism or cool purple outfits or combat skill...'",123,None,3843,4952,0.2125,0.53125
b'Ben',480756099,2017-05-11 01:39:18,b'RT @SenSanders: Did Russia act independently in support of Trump or did the Trump campaign actively collude with them in attempting to win...',3165,None,49,135,0.22222222222222224,0.375
b'Not John.',50166218,2017-05-11 01:39:18,b'Do you think that Trump would appoint me FBI director? My qualifications include: not giving a shit and being very cheap to bribe.',0,None,158,129,0.16,0.855
b'Chris11962',190878483,2017-05-11 01:39:18,"b'RT @NewtTrump: NEWT: Trump and Sessions should finish cleaning house at the FBI, and then launch serious criminal investigations into the O...'",304,None,9533,8390,-0.3666666666666667,0.6083333333333334
b'Rebecca Campos',1686292909,2017-05-11 01:39:18,"b'RT @WTFNANetwork: If your love of #trump is greater than your love 4 #America, you never loved America in the first place!\n\n#ImpeachTrump\n#...'",382,trump,1396,2772,0.2925,0.5666666666666667
b'Charlotte L Walker',96047815,2017-05-11 01:39:18,"b'RT @TheDemocrats: ""Wake up and smell the cover up.""\n\nTrump is firing the people trying to hold him accountable. https://t.co/mGJtARpupW'",714,None,18,283,0.0,0.0
b'Belos Ferenczy',1319398898,2017-05-11 01:39:18,b'RT @KeithOlbermann: Trump STILL trying to use Flynn as advisor/sounding board. Now. With treason hanging over both of them:  https://t.co/q...',481,None,58,31,0.0,0.0
b'Danielle\xf0\x9f\x96\x96\xf0\x9f\x8f\xbc\xf0\x9f\x8c\x8e\xf0\x9f\x90\xb6\xf0\x9f\x8d\xb7',186862416,2017-05-11 01:39:18,"b""RT @th3j35t3r: By not standing up to Trump &amp; Russia GOP must think his dynasty will NEVER lose power. \n\nCuz who's gonna vote GOP again afte...""",798,None,2110,2068,0.0,0.0
b'Carolyn L. Bennett',2542512697,2017-05-11 01:39:18,b'RT @SenSanders: Did Russia act independently in support of Trump or did the Trump campaign actively collude with them in attempting to win...',3165,None,8,57,0.22222222222222224,0.375
b'Never Forget',3229289016,2017-05-11 01:39:18,"b'RT @AndyGrewal: ""When Comey refused give a preview of his testimony, Trump and his aides considered that an act of insubordination."" https:...'",65,None,1029,3290,0.0,0.0
b'Zach',36648176,2017-05-11 01:39:18,"b""RT @BillDixonish: Fox News: is there anything we can possibly cover that is big and not about Trump?\nFox Reporter: oh i've got something BI...""",569,None,174,228,0.0,0.55
b'JAMES #StillWithHILL',17600254,2017-05-11 01:39:18,b'RT @MotherJones: Senator suggests a new job for James Comey: Trump-Russia investigator https://t.co/e3nFrjfUIY https://t.co/tPNIa1cMvD',62,None,1357,1087,0.13636363636363635,0.45454545454545453
"b'Ed Sosa,Ll.B. (R.P.)'",738184516586639364,2017-05-11 01:39:18,b'It was imperative for Traitor Trump not to allow U.S media into Oval Office while Russians were installing bugs to ensure his compliance!',0,None,635,747,0.0,0.0
b'Tara M',233657361,2017-05-11 01:39:18,"b""RT @drewharwell: Someone wants you to know this critical note to @wpjenna's amazing story: Spicer was *among* the bushes, not in them https...""",133,None,59,129,0.26666666666666666,0.6
b'Freedom Forever',999274855,2017-05-11 01:39:18,"b'After Trump fired Comey, White House staff scrambled to explain why https://t.co/tAhJbX8ola'",0,None,380,704,0.0,0.0
b'g75',2789729850,2017-05-11 01:39:18,"b""RT @DerekCressman: Now we're talkin. Shut down the Senate until we have an independent commission to investigate Trump. https://t.co/ep9o0g...""",327,None,954,1512,-0.07777777777777779,0.20694444444444446
b'Dan Kosan',1918591321,2017-05-11 01:39:18,"b'RT @thehill: White House: Trump met with Russian foreign minister ""because Putin asked him to"" https://t.co/Y8enLmPkmc https://t.co/gg1oSoo...'",387,None,36,431,-0.041666666666666664,0.041666666666666664
b'Arthur David Olson',1145743200,2017-05-11 01:39:18,"b'#TakomaPark councilmember mentions that in 2020 President Trump will be running, ""or President Pence.""'",0,TakomaPark,256,623,0.0,0.0
b'kobthehawk',2220305844,2017-05-11 01:39:18,b'RT @windsun33: Analysis | More bad news for Trump: His poll numbers just hit a bunch of new lows https://t.co/eV5u1wRJGT',1,None,123,359,-0.021212121212121165,0.5404040404040403
b'Bruce Barth',106030570,2017-05-11 01:39:18,b'RT @NetworkJunkyz: This was the biggest under-reported Trump/Russia story yesterday. This former FBI agent makes a devastating case against...',2359,None,28,78,-0.5,0.5
b'Bosie',2427834994,2017-05-11 01:39:18,"b""RT @davidfrum: Washington divided between people saying the Trump admin's account is a lie - and those just silently thinking so""",365,None,66,772,0.0,0.1
b'Sarpedon',712488228658528256,2017-05-11 01:39:18,b'RT @WilcoxNMP: NYT: Family demography closely correlated to 2016 vote https://t.co/9eAAnBokj5 https://t.co/CWMv0EUBLU',105,None,116,670,0.0,0.0
b'Dale W.',1327854876,2017-05-11 01:39:18,"b""RT @jblcu: Paul: Dems Pushing a 'Huge Myth' About Trump Collusion With Russia https://t.co/rg1zqgyW23""",4,None,5047,5189,0.4000000000000001,0.9
b'Shari Lea',796449998200307712,2017-05-11 01:39:18,"b'RT @EJDionne: McConnell, other GOPers defending #Trump will regret it when the train wreck comes. My column: The #Comey Misfire.\nhttps://t....'",70,Trump,507,2054,-0.1625,0.2875
b'Christine L Hudgins',828783464950427649,2017-05-11 01:39:17,"b""RT @pccote66: FCC to investigate, 'take appropriate action' on Colbert's Trump rant https://t.co/bBzGLNLvpS""",3,None,849,2074,0.3,0.3
b'Chris Bob',771676327149654017,2017-05-11 01:39:17,b'RT @DavidYankovich: Wait- does anyone believe that Trump fired Comey over Hillary?\n\nThese would be the same people that thought Mexico woul...',2160,None,182,74,0.0,0.125
